,Time,Time_Elapsed,Disk_Precentage
137,21:58:10,13.73574185371399,70.3
138,21:58:10,13.836355924606323,70.3
139,21:58:10,13.936567544937134,70.3
140,21:58:10,14.036773681640625,70.3
141,21:58:10,14.137006759643555,70.3
142,21:58:10,14.237209558486938,70.3
143,21:58:10,14.337475776672363,70.3
144,21:58:10,14.437707424163818,70.3
145,21:58:11,14.537992715835571,70.3
146,21:58:11,14.638277292251587,70.3
147,21:58:11,14.738497018814087,70.3
148,21:58:11,14.838717699050903,70.3
149,21:58:11,14.93892502784729,70.3
150,21:58:11,15.039185047149658,70.3
151,21:58:11,15.139400005340576,70.3
152,21:58:11,15.239611387252808,70.3
153,21:58:11,15.339833974838257,70.3
154,21:58:11,15.44014835357666,70.3
155,21:58:12,15.54037070274353,70.3
156,21:58:12,15.640620946884155,70.3
