,Time,Time_Elapsed,CPU_Precentage
138,21:58:24,27.811866998672485,47.3
139,21:58:24,28.012646675109863,45.5
140,21:58:24,28.213356971740723,51.2
141,21:58:24,28.414117574691772,44.4
142,21:58:25,28.614684581756592,48.5
143,21:58:25,28.81540060043335,45.5
144,21:58:25,29.01613211631775,40.9
145,21:58:25,29.216890573501587,43.7
146,21:58:25,29.417514085769653,49.1
147,21:58:26,29.618178844451904,46.8
148,21:58:26,29.819324016571045,44.9
149,21:58:26,30.019959211349487,45.9
150,21:58:26,30.2208194732666,44.6
151,21:58:26,30.42166519165039,44.1
152,21:58:27,30.624938011169434,46.8
153,21:58:27,30.8255832195282,62.5
154,21:58:27,31.0261709690094,46.6
155,21:58:27,31.22685694694519,46.2
156,21:58:27,31.427419662475586,47.9
157,21:58:28,31.628026008605957,47.2
